Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
2003-04-01,Australia,1,0,0
2003-04-02,Australia,1,0,0
2003-04-03,Australia,1,0,0
2003-04-04,Australia,1,0,0
2003-04-05,Australia,1,0,0
2003-04-07,Australia,1,0,0
2003-04-08,Australia,1,0,0
2003-04-17,Australia,3,0,3
2003-04-18,Australia,3,0,3
2003-04-19,Australia,3,0,3
2003-04-21,Australia,3,0,3
2003-04-22,Australia,3,0,3
2003-04-23,Australia,4,0,3
2003-05-22,Australia,6,0,6
2003-05-28,Australia,6,0,6
2003-05-29,Australia,6,0,6
2003-06-30,Australia,5,0,5
2003-04-01,Belgium,1,0,0
2003-04-02,Belgium,1,0,0
2003-04-03,Belgium,1,0,0
2003-04-04,Belgium,1,0,0
2003-04-05,Belgium,1,0,0
2003-04-03,Brazil,1,0,0
2003-04-04,Brazil,1,0,0
2003-04-05,Brazil,1,0,0
2003-04-07,Brazil,1,0,0
2003-04-08,Brazil,1,0,0
2003-04-09,Brazil,1,0,0
2003-04-10,Brazil,2,0,0
2003-04-11,Brazil,2,0,0
2003-04-12,Brazil,2,0,0
2003-04-14,Brazil,2,0,0
2003-04-15,Brazil,2,0,0
2003-04-16,Brazil,2,0,0
2003-04-17,Brazil,2,0,0
2003-04-18,Brazil,2,0,0
2003-04-19,Brazil,2,0,0
2003-04-21,Brazil,2,0,0
2003-04-22,Brazil,2,0,0
2003-04-23,Brazil,2,0,0
2003-04-24,Brazil,2,0,2
2003-04-25,Brazil,2,0,2
2003-04-26,Brazil,2,0,2
2003-04-28,Brazil,2,0,2
2003-04-29,Brazil,2,0,2
2003-04-30,Brazil,2,0,2
2003-05-01,Brazil,2,0,2
2003-05-02,Brazil,2,0,2
2003-05-03,Brazil,2,0,2
2003-05-05,Brazil,2,0,2
2003-05-06,Brazil,2,0,2
2003-05-07,Brazil,2,0,2
2003-05-08,Brazil,2,0,2
2003-05-09,Brazil,2,0,2
2003-05-10,Brazil,2,0,2
2003-05-12,Brazil,2,0,2
2003-05-13,Brazil,2,0,2
2003-05-14,Brazil,2,0,2
2003-05-15,Brazil,2,0,2
2003-05-16,Brazil,2,0,2
2003-05-17,Brazil,2,0,2
2003-05-19,Brazil,2,0,2
2003-05-20,Brazil,2,0,2
2003-05-21,Brazil,2,0,2
2003-05-22,Brazil,2,0,2
2003-05-23,Brazil,2,0,2
2003-05-24,Brazil,2,0,2
2003-05-26,Brazil,2,0,2
2003-05-27,Brazil,2,0,2
2003-05-28,Brazil,2,0,2
2003-05-29,Brazil,2,0,2
2003-05-30,Brazil,2,0,2
2003-05-31,Brazil,2,0,2
2003-06-02,Brazil,2,0,2
2003-06-03,Brazil,2,0,2
2003-06-04,Brazil,2,0,2
2003-06-05,Brazil,2,0,2
2003-06-06,Brazil,2,0,2
2003-06-09,Brazil,2,0,2
2003-06-10,Brazil,3,0,2
2003-06-11,Brazil,3,0,2
2003-06-12,Brazil,3,0,2
2003-06-13,Brazil,3,0,2
2003-06-16,Brazil,3,0,2
2003-06-17,Brazil,3,0,2
2003-06-18,Brazil,3,0,2
2003-06-19,Brazil,3,0,2
2003-06-20,Brazil,3,0,2
2003-06-23,Brazil,3,0,2
2003-06-24,Brazil,3,0,2
2003-06-25,Brazil,3,0,2
2003-06-26,Brazil,3,0,2
2003-06-27,Brazil,3,0,2
2003-06-30,Brazil,3,0,2
